epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.1749,1.6956,3.69942,1.66104,0,0,0,0,0,24.9028,0,0,0,0
2,7.67615,1.5667,3.6933,1.52114,0,0,0,0,0,24.9029,0,1.1e-05,1.1e-05,1.1e-05
3,11.1624,1.50925,3.76486,1.59727,0,0,0,0,0,24.9024,0,2.178e-05,2.178e-05,2.178e-05
4,15.0092,1.5572,3.58122,1.67719,0,0,0,0,0,24.8985,0,3.23401e-05,3.23401e-05,3.23401e-05
5,19.042,1.6861,3.75196,1.62178,0,0,0,0,0,24.8916,0,4.26802e-05,4.26802e-05,4.26802e-05
6,22.8867,1.43822,3.73598,1.51649,0,0,0,0,0,24.8822,0,5.28003e-05,5.28003e-05,5.28003e-05
7,26.7149,1.31481,3.59202,1.61721,0,0,0,0,0,24.8713,0,6.27004e-05,6.27004e-05,6.27004e-05
8,30.7424,1.45264,3.67381,1.52372,0,0,0,0,0,24.8577,0,7.23805e-05,7.23805e-05,7.23805e-05
