epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3663,1.44341,2.51475,1.4378,0.48302,0.56412,0.49495,0.30624,1.35755,1.85533,1.4504,0.00036765,0.00036765,0.00036765
2,85.0807,1.30648,1.48147,1.32664,0.6067,0.57111,0.57369,0.34296,1.3071,1.70218,1.45411,0.000664923,0.000664923,0.000664923
3,114.462,1.27922,1.25553,1.30707,0.66544,0.67998,0.64966,0.41372,1.28624,1.26337,1.3825,0.00088887,0.00088887,0.00088887
4,144.261,1.22345,1.11986,1.25688,0.71229,0.71103,0.70348,0.43987,1.22153,1.18759,1.36225,0.000781033,0.000781033,0.000781033
5,174.581,1.17949,0.989,1.22502,0.71299,0.72839,0.70941,0.452,1.18945,0.99079,1.33085,0.000671044,0.000671044,0.000671044
6,205.898,1.12553,0.90231,1.19014,0.73481,0.78691,0.75412,0.49627,1.12566,0.89482,1.2738,0.000561055,0.000561055,0.000561055
7,236.944,1.08323,0.83347,1.15764,0.73653,0.78506,0.75871,0.50742,1.12811,0.88888,1.25604,0.000451066,0.000451066,0.000451066
