epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,777.017,1.28895,1.37698,1.32418,0.78371,0.76542,0.79363,0.55173,1.05113,0.87697,1.194,0.0668601,3.31731e-05,3.31731e-05
2,1675.8,1.12594,0.9243,1.19715,0.8686,0.76658,0.8137,0.57456,1.02066,0.6926,1.1417,0.0335598,6.6243e-05,6.6243e-05
3,2432.87,1.08053,0.83434,1.1638,0.86552,0.82697,0.87536,0.62165,0.99272,0.66348,1.12611,0.000259305,9.9049e-05,9.9049e-05
4,3341.94,1.02954,0.78566,1.13305,0.87343,0.84937,0.90078,0.64719,0.97259,0.62786,1.11724,9.8812e-05,9.8812e-05,9.8812e-05
5,4071.8,1.00277,0.71982,1.11091,0.88268,0.8457,0.89555,0.6498,0.94927,0.5975,1.10563,9.8416e-05,9.8416e-05,9.8416e-05
6,4740.5,0.97811,0.69249,1.10107,0.87288,0.86699,0.9058,0.66369,0.9302,0.58015,1.07778,9.802e-05,9.802e-05,9.802e-05
7,5466.97,0.94458,0.6494,1.08002,0.91882,0.88015,0.92748,0.68225,0.89056,0.54013,1.06861,9.7624e-05,9.7624e-05,9.7624e-05
8,6131.92,0.93388,0.63013,1.07804,0.88003,0.8938,0.91603,0.68553,0.90807,0.54181,1.07196,9.7228e-05,9.7228e-05,9.7228e-05
