epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2171,1.5258,3.32924,1.81617,0.00163,0.16194,0.00266,0.00059,3.32597,4.56783,3.37582,0.00898525,0.00898525,0.00898525
43,2220.07,1.49745,3.34856,1.80709,0.00174,0.08406,0.00297,0.00058,3.10666,4.12011,3.10613,0.0089605,0.0089605,0.0089605
44,2269.39,1.51097,3.32613,1.80558,0.0011,0.12319,0.00286,0.00059,3.16172,4.14715,3.02028,0.00893575,0.00893575,0.00893575
45,2318.79,1.5216,3.32603,1.8045,0.00096,0.17435,0.00394,0.00085,3.13759,4.07957,3.07819,0.008911,0.008911,0.008911
46,2368.87,1.50639,3.30807,1.79922,0.00281,0.04058,0.0022,0.0004,3.12009,4.17122,3.06751,0.00888625,0.00888625,0.00888625
47,2418.54,1.49718,3.3237,1.79757,0.20351,0.01739,0.00249,0.00055,3.27905,4.21217,3.27332,0.0088615,0.0088615,0.0088615
48,2468.25,1.49297,3.29859,1.78841,0.20417,0.00435,0.00265,0.00052,3.26478,4.02716,3.2125,0.00883675,0.00883675,0.00883675
49,2519.16,1.47765,3.29097,1.77293,0.00248,0.01959,0.00174,0.00034,3.41377,4.52655,3.31329,0.008812,0.008812,0.008812
50,2569.09,1.50188,3.31683,1.80233,0.60675,0.00725,0.0039,0.00109,3.09918,4.30665,3.03756,0.00878725,0.00878725,0.00878725
51,2620.18,1.49769,3.31594,1.7919,0.00095,0.18841,0.00339,0.00087,3.03946,4.5274,2.95206,0.0087625,0.0087625,0.0087625
52,2670.04,1.47763,3.32047,1.78513,0.85102,0.03188,0.02564,0.00526,3.13105,4.16984,3.12186,0.00873775,0.00873775,0.00873775
